TO REVIEW COLLECTED DATA FROM DM01DB02 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle   15492     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:00 ora_gtx0_ccbs2
0 S oracle   15494     1  0  75   0 - 10544229 ?   Sep06 ?        00:00:00 ora_rcbg_ccbs2
0 S oracle   15502     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:00 ora_qmnc_ccbs2
0 S oracle   15534     1  0  75   0 - 10547078 ?   Sep06 ?        00:00:15 ora_cjq0_ccbs2
0 S oracle   15627     1  0  75   0 - 10546103 ?   Sep06 ?        00:00:04 ora_q001_ccbs2
0 S oracle   16368     1  0  75   0 - 10545139 ?   10:40 ?        00:00:00 ora_pz99_ccbs2
0 S oracle   20359     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:00 ora_smco_ccbs2
0 S oracle   20489     1  0  75   0 - 10544572 ?   07:30 ?        00:00:00 ora_o000_ccbs2
0 S oracle   20491     1  0  76   0 - 124437 pipe_w 07:30 ?       00:00:00 oracle+ASM2_o000_ccbs2 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq)))
0 S oracle   22896     1  0  78   0 - 10544221 ?   09:33 ?        00:00:00 ora_q002_ccbs2
TO REVIEW COLLECTED DATA FROM DM01DB02 - FSDB DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle    7434     1  0  78   0 - 2159135 ?    10:56 ?        00:00:00 ora_w000_fsdb2
0 S oracle    9611     1  0  75   0 - 2159266 ?    Sep08 ?        00:00:00 ora_q002_fsdb2
0 S oracle   10912     1  0  75   0 - 2160027 ?    10:34 ?        00:00:00 ora_pz99_fsdb2
0 S oracle   12682     1  0  75   0 - 2159803 ?    Sep06 ?        00:00:01 ora_pmon_fsdb2
0 S oracle   12684     1  0  75   0 - 2159249 ?    Sep06 ?        00:00:04 ora_psp0_fsdb2
0 S oracle   12750     1  0  58   - - 2159135 ?    Sep06 ?        00:00:00 ora_vktm_fsdb2
0 S oracle   12754     1  0  75   0 - 2159483 ?    Sep06 ?        00:00:00 ora_gen0_fsdb2
