  ec | 03/14/2012 | 14:03:15 | System Boot Initiated | System Restart | Asserted
  ed | 03/14/2012 | 14:03:16 | System Boot Initiated | Initiated by hard reset | Asserted
  ee | 03/14/2012 | 14:03:16 | System Firmware Progress | Memory initialization | Asserted
  ef | 03/14/2012 | 14:03:16 | System Firmware Progress | Primary CPU initialization | Asserted
  f0 | 03/14/2012 | 14:03:19 | System Boot Initiated | Initiated by warm reset | Asserted
  f1 | 03/14/2012 | 14:03:19 | System Firmware Progress | Memory initialization | Asserted
  f2 | 03/14/2012 | 14:03:19 | System Firmware Progress | Primary CPU initialization | Asserted
  f3 | 03/14/2012 | 14:03:20 | System Boot Initiated | Initiated by warm reset | Asserted
  f4 | 03/14/2012 | 14:03:20 | System Firmware Progress | Memory initialization | Asserted
  f5 | 03/14/2012 | 14:03:21 | System Firmware Progress | Primary CPU initialization | Asserted
  f6 | 03/14/2012 | 14:03:22 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  f7 | 03/14/2012 | 14:03:22 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  f8 | 03/14/2012 | 14:03:57 | System Firmware Progress | Management controller initialization | Asserted
  f9 | 03/14/2012 | 14:03:57 | System Firmware Progress | Secondary CPU Initialization | Asserted
  fa | 03/14/2012 | 14:04:09 | System Firmware Progress | Video initialization | Asserted
  fb | 03/14/2012 | 14:04:16 | System Firmware Progress | Keyboard controller initialization | Asserted
  fc | 03/14/2012 | 14:04:28 | System Firmware Progress | Option ROM initialization | Asserted
  fd | 03/14/2012 | 14:04:31 | System Firmware Progress | Option ROM initialization | Asserted
  fe | 03/14/2012 | 14:04:50 | System Firmware Progress | System boot initiated | Asserted
  ff | 03/14/2012 | 14:31:45 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
 100 | 03/14/2012 | 14:31:45 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
 101 | 03/14/2012 | 14:33:41 | Button | Power Button pressed | Asserted
 102 | 03/14/2012 | 14:33:43 | System Boot Initiated | Initiated by hard reset | Asserted
 103 | 03/14/2012 | 14:33:43 | System Firmware Progress | Memory initialization | Asserted
 104 | 03/14/2012 | 14:33:43 | System Firmware Progress | Primary CPU initialization | Asserted
 105 | 03/14/2012 | 14:33:45 | System Boot Initiated | Initiated by warm reset | Asserted
 106 | 03/14/2012 | 14:33:46 | System Firmware Progress | Memory initialization | Asserted
 107 | 03/14/2012 | 14:33:46 | System Firmware Progress | Primary CPU initialization | Asserted
 108 | 03/14/2012 | 14:33:47 | System Boot Initiated | Initiated by warm reset | Asserted
 109 | 03/14/2012 | 14:33:47 | System Firmware Progress | Memory initialization | Asserted
 10a | 03/14/2012 | 14:33:47 | System Firmware Progress | Primary CPU initialization | Asserted
 10b | 03/14/2012 | 14:33:52 | System ACPI Power State #0x26 | S0/G0: working | Asserted
 10c | 03/14/2012 | 14:33:52 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
 10d | 03/14/2012 | 14:34:24 | System Firmware Progress | Management controller initialization | Asserted
 10e | 03/14/2012 | 14:34:24 | System Firmware Progress | Secondary CPU Initialization | Asserted
 10f | 03/14/2012 | 14:34:34 | System Firmware Progress | Video initialization | Asserted
 110 | 03/14/2012 | 14:34:40 | System Firmware Progress | Keyboard controller initialization | Asserted
 111 | 03/14/2012 | 14:34:51 | System Firmware Progress | Option ROM initialization | Asserted
 112 | 03/14/2012 | 14:34:54 | System Firmware Progress | Option ROM initialization | Asserted
 113 | 03/14/2012 | 14:35:13 | System Firmware Progress | System boot initiated | Asserted
 114 | 03/15/2012 | 16:04:46 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
 115 | 03/15/2012 | 16:04:46 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
 116 | 03/15/2012 | 16:18:25 | Button | Power Button pressed | Asserted
 117 | 03/15/2012 | 16:18:27 | System Boot Initiated | Initiated by hard reset | Asserted
 118 | 03/15/2012 | 16:18:27 | System Firmware Progress | Memory initialization | Asserted
 119 | 03/15/2012 | 16:18:27 | System Firmware Progress | Primary CPU initialization | Asserted
 11a | 03/15/2012 | 16:18:30 | System Boot Initiated | Initiated by warm reset | Asserted
 11b | 03/15/2012 | 16:18:30 | System Firmware Progress | Memory initialization | Asserted
 11c | 03/15/2012 | 16:18:30 | System Firmware Progress | Primary CPU initialization | Asserted
 11d | 03/15/2012 | 16:18:31 | System Boot Initiated | Initiated by warm reset | Asserted
 11e | 03/15/2012 | 16:18:32 | System Firmware Progress | Memory initialization | Asserted
 11f | 03/15/2012 | 16:18:32 | System Firmware Progress | Primary CPU initialization | Asserted
 120 | 03/15/2012 | 16:18:34 | System ACPI Power State #0x26 | S0/G0: working | Asserted
 121 | 03/15/2012 | 16:18:34 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
 122 | 03/15/2012 | 16:19:08 | System Firmware Progress | Management controller initialization | Asserted
 123 | 03/15/2012 | 16:19:08 | System Firmware Progress | Secondary CPU Initialization | Asserted
 124 | 03/15/2012 | 16:19:18 | System Firmware Progress | Video initialization | Asserted
 125 | 03/15/2012 | 16:19:26 | System Firmware Progress | Keyboard controller initialization | Asserted
 126 | 03/15/2012 | 16:19:37 | System Firmware Progress | Option ROM initialization | Asserted
 127 | 03/15/2012 | 16:19:41 | System Firmware Progress | Option ROM initialization | Asserted
 128 | 03/15/2012 | 16:19:59 | System Firmware Progress | System boot initiated | Asserted
